Código Ámbito,Ámbito,Código área (M49),Área,Código Elemento,Elemento,Código Producto,Producto,Código año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1331","Fungicidas y bactericidas","2007","2007","toneladas","27734","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1331","Fungicidas y bactericidas","2008","2008","toneladas","32881","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1331","Fungicidas y bactericidas","2009","2009","toneladas","37934","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1331","Fungicidas y bactericidas","2010","2010","toneladas","55583","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1331","Fungicidas y bactericidas","2011","2011","toneladas","56253","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1331","Fungicidas y bactericidas","2012","2012","toneladas","37381","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1331","Fungicidas y bactericidas","2013","2013","toneladas","44310","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1331","Fungicidas y bactericidas","2014","2014","toneladas","36328","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1331","Fungicidas y bactericidas","2015","2015","toneladas","66051","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1331","Fungicidas y bactericidas","2016","2016","toneladas","59124","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
